conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79690829098483E+018,Sat Jun 01 14:14:56 +0000 2024,0,Kata mak jangan jajan banyak banyak lagi ya habis bayar ukt Nyeess bgt sebenarnya tapi w udah berusaha kok cari part time tapi ya gtu dapatnya paling 300 200 sebulan,1.79690829098483E+018,,,in,Yuta Jinguji FairytaleðŸ©µðŸª½,0,0,0,https://x.com/rillia_bila/status/1796908290984833513,1.55686818730806E+018,rillia_bila
1.7969082145059E+018,Sat Jun 01 14:14:37 +0000 2024,0,UKT mahal Korupsi Timah Emas Dll Tapera Batasan Usia(30 thn) Pilkada di Cabut Batasan Barang dari Luar Negeri Tapera Anymore ??? ,1.7969082145059E+018,,,in,,0,0,0,https://x.com/ariedhetam99/status/1796908214505898244,1.47293983337902E+018,ariedhetam99
1.79517686203909E+018,Sat Jun 01 14:13:52 +0000 2024,0,@a12un Permendikbud mane yang ditandatanganin pak @aniesbaswedan kalau beliau naikin UKT blog ?!!!,1.79690802418935E+018,,a12un,in,,0,0,0,https://x.com/Nazgul95721410/status/1796908024189354057,1.40960857211624E+018,Nazgul95721410
1.79690797699926E+018,Sat Jun 01 14:13:41 +0000 2024,0,KEPO BGT SAMA UKT UI TURUNNYA BERAPA...masih waras gak ya itu kampus....,1.79690797699926E+018,,,in,homophobic dni,0,0,0,https://x.com/yucilarkeo/status/1796907976999260358,1.746887609388E+018,yucilarkeo
1.79690759482265E+018,Sat Jun 01 14:12:10 +0000 2024,0,capek gue collect photocard gak jelas jir mending bayar ukt kata gue mah,1.79690759482265E+018,,,in,homophobic dni,0,0,0,https://x.com/yucilarkeo/status/1796907594822652104,1.746887609388E+018,yucilarkeo
1.79690685291734E+018,Sat Jun 01 14:09:13 +0000 2024,325,3 hari ini ada festival seni tradisi anak2 Jogja adek2 diseriusi aja keseniannya.Besok remaja jangan klithih. Kelak kalau misal UKT nggak terjangkau lagi semoga seni bisa buat bekal hidup https://t.co/Dhj1DsgW90,1.79690685291734E+018,https://pbs.twimg.com/ext_tw_video_thumb/1796906791500144641/pu/img/17HCnXjOC27k67mq.jpg,,in,,3,3,52,https://x.com/paksiraras/status/1796906852917342503,72245301,paksiraras
1.7969066034108E+018,Sat Jun 01 14:08:25 +0000 2024,0,meanwhile fak lain ngasih lampiran slip or bukti payment ukt kmrn k,1.79690665238768E+018,,psjisamylife,in,,0,0,0,https://x.com/psjisamylife/status/1796906652387676527,1.20181797717727E+018,psjisamylife
1.7969066034108E+018,Sat Jun 01 14:08:13 +0000 2024,0,bjir form aspirasi naik ukt feb nyantumin ig yg ga di private bjir se trust issue ituhkan sm kasus kemaren lmao,1.7969066034108E+018,,,in,,0,1,0,https://x.com/psjisamylife/status/1796906603410800670,1.20181797717727E+018,psjisamylife
1.79690591557015E+018,Sat Jun 01 14:05:34 +0000 2024,0,Dan jgn prnh lupa berita mengenai tapera ini keluar saat setelah mendikbudristek yg 'katanya' setelah bertemu jkw membatalkan kenaikan UKT oh lbh tepatnya menunda. Seolah mengurai keributan yg jk diteruskan akn lbh membahayakan keputusan jkw ttg tapera konsepnya pun mrk ubah.,1.79690593600893E+018,,raaanhsb,in,afbf,0,0,0,https://x.com/raaanhsb/status/1796905936008929572,1521785221,raaanhsb
1.79689731215924E+018,Sat Jun 01 14:02:05 +0000 2024,0,@strrynghtx Thank you infonya! UKT 12jt tapi IPI-nya 20jt ya ampun uang pembangunan seram. ,1.79690505965531E+018,,strrynghtx,in,"Depok, Jawa Barat",0,0,0,https://x.com/IamPrasPrasetja/status/1796905059655311415,1.54277741571357E+018,IamPrasPrasetja
